id;notification_id;notification_uid;message;notification_type;created_by;status
1;41505;Pants;CSS Jewelery;ERROR;Granite;ACTIVE
2;97870;North Dakota;Directives payment bluetooth;INFO;calculate Administrator Practical;ARCHIVED
3;96958;solutions;asymmetric Gloves mindshare;ERROR;IB;ARCHIVED
4;32427;reintermediate Health Berkshire;AGP Table;ERROR;Spur Gorgeous Steel Bacon;ACTIVE
5;71519;navigate mobile;Home Loan Account;WARNING;Myanmar Fantastic Granite Hat bandwidth;ARCHIVED
6;91340;customized Borders;Barbados visualize;INFO;Saint Barthelemy;ACTIVE
7;56277;utilize override quantify;Chips Avon AGP;ERROR;multi-byte;ACTIVE
8;4114;port;Executive Administrator panel;INFO;Directives;ACTIVE
9;91255;override;Afghani Specialist;WARNING;Markets;ACTIVE
10;70614;payment Ergonomic;syndicate;ERROR;Steel Money Market Account;ARCHIVED
